CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
CIT	98842	103866	103393	89941	18056	26320	27091	9864	9790	11242	191502
IFT81	119787	81393	79494	85711	69987	96731	103220	55027	57715	45417	94463
ACADS	24108	24783	24516	21859	32500	33871	32273	17113	16467	18549	14274
HVCN1	2504	1120	1392	1223	2865	3085	2091	1723	1678	1906	77110
DDX54	252581	196958	197586	183097	293213	252860	259465	144452	152411	139758	28306
MED13L	400104	349880	357172	284607	306427	504202	498120	278698	274994	175202	323467
CDKN2C	45797	39295	40411	41793	14221	29598	28064	14863	15191	14871	13889
RNF11	83383	50024	49231	58916	112314	156165	147888	89047	89877	69086	37185
RASSF8	43513	28279	31955	32311	45180	34119	35854	20737	19264	11975	120864
BHLHE41	1821	957	1206	845	13373	4602	6026	2411	1662	1840	5102
SSPN	2058	1106	1058	874	4529	1867	2634	1513	1085	699	177300
ITPR2	25083	28496	26329	19695	44535	29134	29071	18697	16907	11005	496684
CCDC91	80152	47154	48608	53388	143054	137148	137842	80699	87461	65424	448263
NECAB1	814	356	431	767	2753	2155	1497	1556	1129	1040	167859
WWP1	125872	83212	91667	87958	123866	173493	172988	99165	96316	73307	135683
ACOT9	118070	71931	76470	82966	119826	142074	138095	82107	83523	70066	64223
PRDX4	282809	192881	200542	200949	287616	542563	542322	309700	310142	291746	22138
DDX39A	134846	105726	111460	105596	92374	128932	121854	70137	65776	71687	10565
PKN1	216378	149331	156633	146846	322236	319608	309645	183095	189503	199018	38815
TRIR	116800	84645	87819	86833	162560	167499	167583	104800	111057	101533	4136
ADGRE5	94662	71687	82070	74624	115307	149402	152721	86196	81172	69951	28225
WDR83	39927	30314	28147	28896	45813	71153	70181	40021	39717	38174	9033
GIPC1	201074	150031	154212	143390	179226	207366	209516	117131	117649	122767	18390
ACTRT1	0	0	0	0	0	0	0	0	0	0	1437
CCDC70	0	0	0	0	0	0	0	0	0	0	4252
SPRYD7	32212	22508	24351	25737	34118	44383	42223	26003	28358	22369	23785
EBPL	48155	34397	30459	35402	49416	47584	57260	33923	32412	35361	30753
ATP7B	16387	15524	14163	14507	26827	27230	29202	15402	16315	12441	81690
ZC3H13	112229	82766	87005	85661	106409	148015	150692	81742	85220	57149	98295
NLN	151665	114660	113686	108607	158509	217768	224028	129574	135232	97132	149530
CENPK	38978	27835	30573	30211	8040	12193	12702	6561	5877	5435	45406
OPTN	160741	87860	93281	94839	431094	400148	400014	236726	242077	186543	38860
ITIH5	1286	1152	1254	1246	672	11097	10748	5385	5055	3088	107729
ATF1	79431	52380	52736	57992	72179	82925	82064	43566	48824	37528	57413
TSFM	77320	56112	53341	57604	60010	81580	80938	49014	48553	41503	25483
NEUROD4	0	0	0	0	0	0	0	0	0	0	10070
ARHGAP9	1535	431	461	673	1054	1338	911	462	341	863	16560
NCKAP1L	288	96	96	0	25	0	0	25	0	0	50528
MMP19	4197	4533	3990	3363	6465	7860	8997	5025	4667	4609	7534
PFDN5	270179	200382	197859	188941	327909	421842	421742	251465	248840	213083	4160
SPATS2	159092	103422	105931	109423	190792	158036	159968	84753	89117	80947	160841
ORMDL2	126880	88407	96021	93639	130022	154022	155576	87367	90310	73093	3961
NR4A1	103190	93257	99868	88942	35995	75640	65469	35411	36090	33264	36676
PDE1B	265	0	96	42	144	22	0	0	0	48	29890
HOXC13	19369	14549	14415	13288	30901	25084	23410	13758	13221	11424	7780
CDK2	38349	35583	35710	33725	35785	31538	33668	18150	18129	16819	6016
LRP1	194692	173438	174320	138372	320346	411099	421405	200958	199295	142069	84859
HOXC11	1520	490	716	1181	759	3551	3375	1663	1902	1474	4518
ATG101	180285	109238	109010	116842	213805	201490	200814	116172	118254	100507	8249
NFE2	572	288	450	768	571	1775	2112	672	768	384	9011
HOXC12	0	0	0	20	0	0	0	0	0	0	4123
IKZF4	13291	9767	9829	10984	14792	16422	19565	9644	10186	7084	30777
SMUG1	57088	41820	41768	37913	56060	64447	61915	32454	35572	31511	67732
TUBA1B	1563731	1333072	1372609	1235210	568296	545391	548547	270528	278529	268423	3616
EEF1AKMT3	33087	19006	21112	22796	47891	50542	49229	27150	31450	27450	11050
KBTBD4	44287	34455	34064	30507	44689	65303	71131	42151	41517	32434	6819
SARDH	0	96	0	0	0	96	301	192	377	0	76396
DBH	56	0	0	0	0	96	0	0	0	0	22985
ATPAF1	73458	54261	51275	52145	68217	113591	113090	67772	65961	57011	41131
STIL	39163	32806	33333	28884	11707	20266	19324	8941	9036	5853	64009
HJURP	66370	57865	52670	51075	16344	30262	31612	15928	16103	13638	21151
IL13RA2	0	0	89	0	0	0	94	0	96	0	16003
COL10A1	384	186	96	144	96	101	192	288	43	0	39825
AMD1	245443	153002	162836	174549	310444	598030	616965	341431	356568	277857	20944
NDUFAF4	29822	14189	18841	16708	36752	58938	55302	31383	32805	28700	8569
USP45	20962	17031	16224	14678	22105	32417	34956	16319	18270	14161	89350
PLP1	0	0	0	0	0	0	48	0	0	20	18902
SERPINA7	0	0	0	0	0	0	0	0	0	0	6297
MORF4L2	673552	384516	394005	417908	522569	674284	685459	362400	382327	322939	12663
H2BFWT	0	0	0	0	0	0	0	0	0	0	2541
RAB9B	192	480	375	191	469	456	288	96	384	96	9907
NRK	23	0	0	63	23	42	0	0	0	0	136068
FAM199X	185349	129727	134233	122171	149212	198833	198847	116569	118022	88491	29283
ESX1	0	0	0	0	0	0	0	0	0	0	4896
MAGEA9	0	0	0	0	48	0	0	0	96	0	5808
ATXN3L	0	0	0	0	0	0	0	0	0	0	2164
RAB9A	31142	18173	19689	21415	49730	68171	69347	37618	40019	34407	21382
METTL8	36572	28957	29232	26687	37255	48902	51665	29170	28053	23565	117398
TTC21B	23490	20371	18983	15366	26951	33146	35729	18618	18296	16019	96369
NMI	20366	14754	14393	18355	36538	32809	33931	21115	19195	16824	19593
TNFAIP6	575	190	288	384	0	383	624	96	191	0	22457
ACVR1C	214	287	213	288	432	1340	1939	1200	528	816	102239
BAZ2B	65278	53286	50251	41704	63842	100894	99448	56509	60407	37036	297714
SLC36A1	32874	29154	30688	22442	73940	99831	100073	57430	54576	41646	55336
LPGAT1	876695	702367	709588	697890	316114	536690	559360	317647	313564	222086	87316
BATF3	12292	7327	5979	5472	19276	15901	17220	9612	10784	11170	13568
G0S2	1346	910	1290	915	2002	3706	3333	1969	1397	2329	969
KCNJ2	10312	4966	6470	5590	3004	28741	30277	17145	15549	11320	11376
RAP2C	106707	72785	67869	77058	137524	165340	161455	88700	92375	70729	16457
EXOSC9	35113	24756	24995	25072	27314	37911	40421	22339	22601	18190	15705
PLA2G12A	39112	26909	28698	28831	52063	71972	71657	41958	42872	32807	20089
B9D2	20287	16934	15193	16037	24276	29114	34119	19411	20570	17203	9753
COQ8B	184980	118416	125386	129465	102395	159858	155551	82228	83695	80812	26679
PFKFB2	104948	74996	71342	65302	110472	182219	184033	106534	109036	65959	46659
C4BPA	128072	87829	85415	102572	19579	74419	74377	36452	37842	32957	40711
C4BPB	842	482	576	288	96	0	96	0	0	0	11152
RAB38	5740	2959	3575	4750	11158	17731	18738	10166	12960	9196	62226
GPR83	141	213	118	288	240	758	432	276	431	288	24109
AGO2	188475	150307	153353	127739	220406	312166	316482	181114	177719	111138	115464
MXD4	43033	40174	39832	37773	52129	66442	61343	33889	37806	33139	14863
CKS2	89757	73178	72010	70101	39924	66796	65936	34722	41636	33287	5506
DAW1	240	96	95	237	440	192	96	192	0	0	53291
ACSL3	879973	574324	579072	624437	646902	1318900	1329569	758954	782138	583127	83706
CHPF	157259	81703	83351	101287	144882	319625	320582	168162	163862	183879	4841
DNPEP	42213	37992	33798	34108	74456	83603	90905	46074	47834	43438	26477
INHA	1415	1401	1367	816	2310	3500	4439	1172	1469	1865	6552
MOGAT1	0	0	0	48	35	0	0	0	48	0	38145
OBSL1	40458	33507	35844	31011	74433	77707	79311	43022	44031	40674	21131
FAM124B	40	0	0	0	0	96	0	0	0	0	23388
SLC12A4	62255	40422	42911	37384	71223	83939	82465	47981	48784	42140	26128
ENKD1	11302	8171	8685	8130	14327	17579	18018	10846	11467	10175	4321
MC3R	0	0	0	0	0	0	0	0	0	0	1084
GCNT7	742	884	471	590	346	478	642	240	428	223	34434
CTCFL	21	0	0	0	23	26	0	0	0	0	29687
FAM210B	33805	28859	27487	30227	30380	48406	51450	31226	31001	20875	9749
PI3	6759	3499	4545	4914	431	3144	1919	1296	670	960	1669
FAM209A	31892	21987	20073	22132	23219	30099	29423	15662	15626	15265	8956
SNX21	23503	18801	18672	16823	18062	23760	21463	12344	12099	11311	9466
SLPI	301369	201527	199025	229810	36629	240750	242130	117119	119705	111090	2326
WFDC3	96	0	192	96	101	172	73	48	191	48	43989
TTPAL	82916	56333	58362	55293	53507	86048	90862	56297	53857	39216	18718
PREX1	17651	18872	17856	17140	27579	34690	36766	19714	20227	15664	203632
KCNS1	144	0	229	288	432	539	191	94	0	0	8803
SLC12A5	4739	3494	2695	3942	6120	6237	5735	3778	3146	3132	38463
ARHGAP40	0	0	0	192	96	0	0	0	20	0	49102
SDC4	54552	36915	38665	37442	126701	113063	112301	64932	65081	51493	23137
NCOA3	562786	410266	422631	363921	879429	1047121	1042728	570630	560214	360875	154976
PIGT	369372	254834	256078	250495	231140	394253	397812	217167	217649	192909	40868
SEMG2	0	0	0	0	0	0	0	0	0	0	3159
MATN4	299	96	0	0	170	96	96	0	96	214	15085
NCOA5	73242	56630	59220	53720	99237	119744	122001	71110	67921	59730	28968
VAPB	147628	106331	114069	112097	125233	193283	193063	108694	107545	88108	61980
PARD6B	31483	23113	21513	21600	31685	37592	34443	22245	22828	21737	25252
ATP5E	366717	267630	268496	274766	260970	442642	458751	261780	260119	229466	6916
CHD6	133856	115461	116146	97407	113560	178242	178519	96362	94246	62481	216394
PLCG1	83598	78984	83552	73639	79073	120255	122792	70331	72019	51966	59842
TOX2	21381	14247	15016	14406	34942	24527	22092	12462	12553	14815	154753
SRSF6	339214	256833	248377	257962	179016	317167	306651	162635	171144	139672	6320
GDAP1L1	48	192	56	192	56	192	235	48	369	103	33819
GTSF1L	0	0	0	0	0	0	0	0	0	0	835
ARFGEF2	333245	237127	241552	212551	284474	432756	440577	237134	233176	152223	114804
ZNFX1	199802	166805	162263	147236	214212	294032	294271	157617	170141	118197	40481
ZNF831	0	0	0	0	54	30	34	0	0	43	135733
EDN3	188	288	96	192	0	0	0	0	0	0	25566
CSE1L	265418	218380	225604	209438	183187	229352	223973	127149	128769	109579	50715
TMEM189-UBE2V1	250517	172886	179205	190071	270985	344775	354579	186670	181973	158453	72514
RAB22A	100996	66761	68663	72345	146538	186528	188902	103975	108648	86963	57812
PTGIS	0	44	84	0	0	48	75	69	167	94	64273
STAU1	354619	243657	253413	244531	295526	401218	420233	227939	230103	187059	75029
CDH26	2050	1025	1006	1443	662	2567	862	596	375	811	75585
SNAI1	4225	3524	2296	2772	2854	2346	2301	1670	1737	766	5888
MOCS3	35227	27876	31683	23581	35605	52481	55058	30440	30548	24510	5106
STX16	281928	187248	191022	182582	269393	418414	418402	238585	239407	189681	28274
PMEPA1	140914	107020	108320	97786	73519	156290	153050	75587	77844	72294	63145
RNF114	152259	104431	103362	102068	121016	157391	159209	91760	90311	78862	17557
ANKRD60	0	0	0	0	0	0	0	24	0	0	10159
DDX27	221583	155452	152212	163542	164655	224165	218395	130043	131516	117099	24783
RBPJL	0	0	0	0	48	0	48	0	53	48	10974
SEMG1	0	0	0	0	0	0	0	0	0	0	2776
C20ORF85	0	0	0	96	0	0	48	0	96	0	10247
BCAS4	51339	35269	34550	36768	60906	81146	78929	43384	45128	34455	87783
KCNK15	1471	528	719	576	3111	1086	783	336	862	569	6534
TP53TG5	1561	2022	2250	2033	2327	3458	3678	1575	1287	1348	35327
PCK1	96	96	96	96	0	96	96	192	131	0	7033
ZBP1	171	0	0	95	0	32	20	0	0	0	16731
NEURL2	4253	1981	2319	2035	5863	8282	6714	3421	4516	5327	2663
MAGEA10	0	0	0	0	0	0	40	0	0	0	5269
MTRR	102455	70862	73933	72176	82739	147728	145285	75709	79807	62275	54840
FASTKD3	20857	14704	15433	15995	18385	28482	31109	16366	17738	12182	9879
PEPD	228577	178807	188793	164956	356183	419332	420402	235522	237749	222921	134845
CHST8	0	0	0	0	0	65	0	0	0	0	151555
IQSEC2	83988	63350	59114	58724	128838	195193	192216	92676	103383	91251	95501
VAMP7	111997	67631	73776	71823	105993	160926	155937	91963	98189	71175	62477
IL9R	473	232	489	315	346	553	861	96	378	362	13237
XG	240	192	48	48	0	0	1	0	0	0	63878
STAMBP	93499	66491	67014	69915	99685	143564	146734	84666	79626	72383	44744
NAGK	73529	58946	55192	56384	74063	108258	110430	64578	59001	53309	15462
MCEE	15127	10195	9980	12300	6106	14556	18278	11106	8479	7552	20556
PAIP2B	3569	2757	3566	2445	3104	7755	7889	4887	4805	4320	44345
SNRNP27	46244	27809	26454	32329	40280	55117	63524	36367	34584	29315	12016
MPHOSPH10	86660	53457	52131	61183	59671	94026	90365	58876	55950	45634	19788
IL17C	0	0	0	96	143	0	144	48	96	0	1883
ATP8A1	3992	3957	3453	3819	1676	1980	2592	986	1440	863	248733
USP22	646261	535632	537730	464843	851935	1097756	1098348	613326	625143	504084	44168
POF1B	45913	40309	36789	35769	62540	73573	77461	45239	47503	34308	102348
HIF3A	0	52	74	0	96	96	308	192	39	0	46388
ZNF576	32167	18152	22663	21193	19727	28785	32181	16895	15873	15707	4766
IRGC	0	0	0	0	96	48	96	0	48	0	4012
ZNF45	37343	27917	31058	27464	44227	62767	64900	35739	37148	27207	22650
LYPD3	6357	192	671	1770	96	671	480	383	0	0	4874
PSG8	0	0	0	0	0	0	0	0	0	0	103006
CEACAM8	17523	11268	10957	11215	325	525	562	240	178	48	14815
NDP	0	0	0	0	0	0	0	0	0	0	24729
USP9X	562571	448668	453458	391904	630529	881170	887884	490554	504924	338471	150945
CRISP2	0	0	0	0	0	0	0	0	0	0	21233
F13A1	0	0	0	0	192	0	0	0	0	0	176929
GRM4	24	139	0	191	512	255	431	288	96	190	136978
TRERF1	20040	22046	23218	17207	31397	36568	34350	22200	23898	16604	227121
PACSIN1	2610	2722	2576	2501	671	1438	1244	669	576	957	69171
BTN2A2	10583	7633	7190	7098	22153	22830	21234	15116	14420	8427	11779
SIRT5	32471	24170	20685	23100	38463	57161	52789	27623	31599	23607	40630
MRS2	57264	38633	39403	41231	45572	72539	78594	37208	39982	33182	23287
WRNIP1	74594	54826	56328	56510	76992	109219	105941	54717	63144	53962	21539
RRP36	64763	45830	46823	43555	68883	95291	93244	53997	54714	49754	12512
BTN1A1	0	48	96	0	67	138	144	0	0	48	9202
SNRPC	100624	74192	70168	67973	87262	131265	138997	72061	70494	63312	16389
SLC17A3	5532	4057	3437	4260	8436	40409	43670	23668	23829	19648	49221
SLC17A1	887	480	863	820	1726	5996	7514	3689	3357	3746	49163
SERPINB6	121618	84371	85703	88405	134293	170919	181475	89733	100765	89597	24007
XPO5	118782	88052	85639	75864	117252	170086	176217	108125	100402	75238	53746
ABCC10	50227	37379	37529	36746	39666	46796	54204	25921	26064	24816	23065
HIST1H1D	605	475	986	673	460	191	200	96	142	299	666
PEX6	46774	38674	36208	32035	81181	113990	110929	64374	65147	56869	15351
NQO2	103552	75034	72306	71671	150926	185816	195003	106182	109218	91735	40883
AL365205.1	121271	90355	90213	89374	103709	159664	164038	91358	91341	84814	9793
OARD1	50430	30441	30812	35500	41128	75246	76447	45170	47187	36114	64161
UNC5CL	13313	10503	10244	11416	3729	5842	6726	5564	4395	1956	12307
AARS2	30284	24148	26743	24444	22888	34218	38890	18685	20138	18904	13673
HIST1H1A	96	3	0	0	0	0	0	0	0	0	648
ZNF391	1954	1152	1872	1151	1700	1807	2490	1771	288	932	29290
RPS10	110318	78788	84633	85757	149463	205309	200793	127692	129037	121618	8672
MOCS1	3203	3402	1920	2614	3696	7776	7704	3352	3647	2684	34974
HIST1H2BJ	2014	2367	1474	1972	1332	3019	2823	902	866	1586	6854
MED20	41459	29285	27907	28582	27135	40997	41320	24985	23953	17411	15786
OR2B6	223	144	144	46	48	41	144	324	0	96	942
TBCC	19823	13383	14740	13903	23405	38181	38299	23190	22035	19055	1616
SPDEF	140843	116748	113235	100229	43021	44196	44643	24694	25524	29123	18532
TCP11	0	0	96	0	0	0	31	0	0	0	30540
MAD2L1BP	24044	16799	17099	16596	29712	41024	44229	23022	27126	20179	11413
APOBEC2	0	34	0	48	331	64	51	0	48	192	11208
KLHDC3	43492	34711	38062	35116	56262	75348	78707	45238	44357	38355	7196
GNMT	423	110	377	152	784	1781	1031	819	676	528	3123
DNAH8	0	0	13	0	0	96	0	0	0	0	315189
TREM1	0	0	0	0	96	460	576	192	288	288	18794
MEA1	70614	47215	47783	49536	74152	98973	94102	53710	54046	50593	1875
KLHL31	1801	2010	2278	1335	2347	5094	5425	3495	3236	1866	17808
COL21A1	3562	2600	2136	3093	4133	13211	13961	7496	7791	6387	337505
CDKN1A	264394	154285	155638	171767	451996	519530	518388	293157	299243	271201	10880
SOX4	184751	143730	143563	151504	122516	199549	198493	107987	114405	83253	5852
GLO1	140806	99542	102366	108810	131466	175094	172728	106591	107878	77044	27217
CPNE5	144	21	0	116	96	0	41	25	45	123	99228
KCNK17	0	0	0	0	0	0	0	0	0	0	15553
RREB1	78172	65979	70382	53805	78011	111279	105994	59196	59661	42585	144384
SSR1	619081	346180	352168	391944	382477	647370	649365	350410	344176	312375	79141
RIOK1	33719	22390	24172	22742	32669	48694	51072	26151	25786	20790	28542
NRN1	2759	2146	1828	2106	9179	7889	9859	4739	5036	3813	9607
SLC35B3	41441	30518	26980	28801	52861	73331	67907	41518	40695	33310	22416
RPP40	13992	8231	9501	10482	15400	18502	20719	10923	11910	9264	9332
ATXN1	54651	34200	37805	35256	126377	139026	138992	78758	74117	52395	462380
NUP153	113153	81243	85673	77124	131225	162387	159455	86155	93738	64299	91800
DEK	188412	132495	139485	144394	168275	210268	214786	123049	126001	96628	40956
EEF1E1	46624	29875	31033	33129	56464	78404	83393	48381	49211	40873	29219
CRISP1	0	0	0	0	0	0	0	0	0	0	42840
RUNX2	1476	1022	1062	780	2461	5444	5550	2595	2788	1952	336193
OPN5	0	0	0	0	0	20	0	0	0	0	50799
GCM2	96	0	0	0	90	144	192	0	192	0	8719
LRRFIP1	198200	133212	139031	149405	217357	314294	316081	171424	175496	128053	186107
RAB17	357	384	288	0	1129	2774	1821	1104	2013	1526	27293
CXCL6	94	30	96	144	96	89	68	140	88	42	12568
EREG	204245	120954	130714	131684	370071	278317	292344	162398	158282	121061	23609
TRIM51	0	0	0	0	0	0	0	0	0	0	8514
MYRF	357450	340074	344718	288389	356401	536818	560539	299412	300920	248979	35877
SCGB1D2	0	0	189	192	0	192	192	96	0	96	2599
SCGB2A1	192	96	288	380	0	123	189	0	431	96	5272
AHNAK	921495	870779	872882	659280	1018944	805452	815792	438123	437420	248086	122694
EMC3	127783	90045	95792	94380	174760	241089	242887	134007	144200	117516	48580
SSUH2	307	383	288	335	468	719	773	691	575	477	125641
WNT1	605	125	287	377	1296	1125	952	421	631	612	3224
SH3TC1	31138	25406	28546	24249	58449	60307	61856	32254	30932	29434	59732
CNOT1	650859	505954	534121	456195	635770	843880	832134	466002	463182	322786	109936
LRRC29	4196	3267	3297	2816	3832	4989	4126	2192	1917	2866	19910
BBS2	88597	57724	62162	62675	80929	128444	126387	76590	74571	58448	53448
MT1G	2347	93	636	889	1047	1184	1460	1451	234	238	1335
MT2A	81102	52675	54975	54807	71335	174696	174857	92225	82687	87591	1299
C16ORF70	51350	38472	35631	31034	47722	76289	79910	44406	43811	33335	38582
GOT2	328680	264727	263656	241374	333288	429472	430036	264206	264020	213096	27227
DOK4	274696	233146	231112	226164	200359	303941	293942	160053	165576	153403	15406
PIWIL1	0	58	26	0	0	0	0	0	72	0	34751
GPR18	119	192	192	240	3	254	3	0	192	192	7031
CLYBL	5352	3309	2336	5039	7103	7715	7324	5971	4933	4513	290466
TMTC4	32350	25957	23967	21759	41002	51574	50842	29892	31374	22390	71167
RAP2A	53838	40227	40893	38816	58840	70967	74111	40842	45003	33718	34907
SLC10A2	0	0	0	20	0	0	0	0	0	0	22849
ABCC4	149936	117537	120305	104989	225444	285583	297628	171199	163318	119285	281618
EFNB2	8507	5228	6849	7987	12028	5806	5424	3478	2875	2039	45384
SOX21	34531	32357	30455	29447	1555	2899	3376	1489	1236	1579	2778
TM9SF2	420296	260791	274701	279605	406185	693010	699768	383818	389116	319372	62590
C17ORF53	9389	10000	8860	8183	2503	3125	2926	1279	1912	1187	20571
KIF25	229	366	240	147	422	951	575	108	107	96	48849
IRF1	32784	23768	27585	28804	100448	79318	85193	51798	50286	37295	9190
UPF3B	59216	34688	41077	42508	48169	60357	63145	42183	38635	29985	47688
RNF113A	50624	36449	35706	38993	48594	69214	65614	38478	38234	39570	1353
SEPT6	7134	6872	7557	5863	11105	12739	14411	6065	7236	6444	77647
TMEM255A	0	96	96	0	21	96	0	96	96	0	52907
NDUFA1	204550	139324	148554	165180	173582	268261	291144	155959	165299	139544	5176
AMELX	0	0	0	0	0	0	0	0	0	0	7349
ATP5S	44363	31972	34443	35056	45814	68937	71247	34912	34450	33866	23233
BMP4	24139	16666	20104	17904	34955	53490	56077	30804	33060	27163	9026
PTGER2	2351	1972	1775	1581	1846	2666	2446	768	1103	667	14302
FAM193A	52596	42419	41465	36388	60592	64968	71321	40357	37618	31514	195935
GRK4	3926	2008	2582	4076	3526	6541	6363	4655	4140	3699	77140
SOX9	69218	59142	61655	53615	37423	51112	51929	28060	31997	26004	5401
TEKT3	192	0	96	0	96	48	266	0	48	93	37831
MYH2	0	0	0	48	31	49	48	0	48	0	28810
HS3ST3B1	10464	11621	11749	9469	863	22714	20256	11144	8785	9936	48322
SLC25A35	59243	44927	46048	41112	83347	90514	92496	48182	50711	53011	7581
MRPS7	147005	109902	112464	111096	153613	226351	232706	133989	131235	107147	4700
GGA3	88680	73859	67856	65341	111331	156536	145314	80067	90334	67292	25765
ARMC7	45081	30873	35003	32662	46790	54092	53958	30419	29746	29515	20314
NUP85	74016	62694	55142	49421	63800	77320	83592	45276	48560	41969	30100
SLC25A19	26729	19223	17901	20889	19548	31302	32104	17619	18753	14912	16530
MIF4GD	87274	52966	54391	59923	100226	140372	145159	78745	74706	73118	5000
NT5C	88214	61212	57673	56002	86935	102703	103988	54493	55881	61077	1571
MSTO1	216294	124074	136136	132529	91158	138410	138201	67267	70989	63960	4763
C1ORF61	1536	1096	911	946	25530	9174	10389	7486	7521	6007	26452
TTF1	21542	15638	16567	16666	20314	31569	32177	16203	16386	14837	31304
GTF3C4	125368	92356	91724	84197	136256	170906	162108	98940	98176	70501	24921
DDX31	58158	38344	44814	40173	64822	94826	95584	54644	57123	45760	77405
BARHL1	101	0	128	46	66	179	65	113	44	15	8082
KIR2DL1	0	0	0	0	0	0	0	0	0	0	14512
PPP1R12C	136227	97123	96721	95555	194916	181223	188288	105170	110571	106637	26647
MBOAT7	232891	189714	192717	172523	287478	373258	366257	184875	191989	181085	16471
SRMS	162	241	192	96	96	167	293	192	28	96	6695
OPRL1	3836	3037	2887	3449	3716	4042	4731	1938	4035	3016	20471
SLC2A4RG	85095	69793	78899	62007	58528	44143	44251	22741	23174	25099	3645
NPBWR2	0	0	0	0	0	0	20	0	0	0	1352
FNDC11	97	0	214	96	288	96	116	33	96	0	8818
BHLHE23	0	0	30	0	0	0	0	0	0	0	1109
PPDPF	173757	127490	133736	129532	112518	111376	112348	63554	57997	77199	1483
IL1B	646	51	479	288	576	380	96	164	288	192	7153
PLGLB2	527	485	378	294	1328	2010	1550	629	1053	755	10707
IL37	0	0	0	0	0	0	0	0	0	0	5912
CHCHD5	35668	23319	22367	22825	33253	41296	41268	19946	21798	25518	5036
PAX8	1614	1439	1484	1764	3945	4248	3679	2956	1491	2626	62954
INSIG2	36879	21428	21538	28444	47100	63450	66990	41771	38307	30297	22546
POLR1B	76822	59596	61749	58114	71849	103598	108514	64330	58109	44318	35236
CCDC93	59253	43400	46880	45393	90179	148503	142254	75456	81107	58519	98656
PSD4	13865	12526	13465	11317	18727	30480	30698	11898	16253	14464	52072
SLC25A23	86426	66896	68489	62316	97481	135558	136853	75881	79043	65146	29125
PSPN	5473	3539	4595	4414	5831	10085	11103	4678	6188	5271	3911
GTF2F1	191174	131315	125994	133138	156868	202957	201996	119854	122573	108945	14413
ALKBH7	30823	22408	24108	23361	57765	58598	57874	34684	35364	40033	2819
CLPP	74032	53762	59411	49538	71942	104299	96847	55256	55536	57692	7457
TNFSF9	34417	24636	25662	27088	40068	60434	58818	33744	35383	34708	4930
GRIA3	101	221	204	69	209	310	67	127	26	192	306763
THOC2	237899	179086	181947	181391	184831	291501	301006	166800	157424	112240	132496
MED1	180779	149481	145574	128652	223132	337792	345788	185060	189011	119496	47002
RPL23	773032	513150	523095	571075	1441881	2254419	2281056	1299164	1350822	1116006	5979
AC046185.1	74285	54056	54104	57105	87984	126224	127858	73259	76682	67336	49253
ATG4C	22946	18167	18351	16319	17040	35185	33920	23232	19534	17453	81379
CD70	38050	28888	28089	28787	26206	54705	55475	29953	30185	31666	20921
C3	358009	301653	307884	321573	98602	913317	917595	436461	431196	340553	52859
SH2D3A	29870	19130	20755	21826	21307	22993	19997	9790	11372	11387	15429
TRIP10	59271	37212	40818	42746	66698	67975	64145	39891	38978	35010	13602
GPR108	104704	66768	67111	69138	142440	200199	211018	117179	116269	107130	7690
TNFSF14	958	1297	1372	426	1390	6766	6241	3653	2944	2977	9336
FOSB	594	428	648	320	336	763	657	656	576	240	7185
OPA3	128847	108530	107299	100528	152014	201408	202082	115482	123056	89280	74786
SNRPD2	328015	245408	253297	233263	331753	448906	452734	271201	277215	244032	5116
RTN2	11465	8864	9039	9372	10705	11808	11971	7286	6410	6179	11773
EML2	180858	99742	101543	120328	143343	165542	166786	88974	93836	86641	38636
VASP	266063	178966	180221	177307	149736	143201	133926	68031	72721	71277	20405
SYMPK	297595	241222	240021	215123	311229	409070	408288	223562	226877	216718	47881
GPCPD1	849625	535607	556360	564407	245368	641546	648018	340832	351695	285760	66623
SDCBP2	2749	730	873	819	1260	1102	1319	1109	462	842	19331
PANK2	90723	76498	78258	75778	92005	120487	120439	70902	74183	60975	41044
TGM3	4256	4069	4341	3900	10456	17669	17662	8314	9501	10292	45078
GNRH2	298	16	240	130	526	276	462	57	183	192	2126
DEFB126	0	0	0	0	0	0	0	0	0	0	3383
FOXA2	77828	58323	54780	60503	97379	107049	98665	50773	59568	50927	4451
CD93	0	0	0	20	0	0	0	21	0	0	6992
GZF1	139432	99287	105366	100120	89477	123528	127346	68715	72477	62156	10882
PAX1	96	0	0	0	0	96	34	0	0	0	12828
NAPB	29505	21791	19657	19925	21436	51356	44892	25845	26684	19040	47001
CST8	0	0	0	0	0	35	0	5	23	0	4918
NKX2-4	46	30	0	0	0	0	0	0	48	0	2662
CENPB	347695	271888	283725	266390	331061	369677	370344	220901	223823	232056	2840
PSMF1	381647	244710	246567	258450	380527	528877	522389	295642	298949	263852	76153
NKX2-2	0	0	20	0	23	0	32	0	0	0	3017
DTD1	153984	96898	101647	105459	209904	301317	294708	174833	174534	148149	196465
CSTL1	0	20	48	0	0	0	20	144	0	0	5246
RBCK1	1043030	583517	577285	611815	1676474	1787866	1804948	994403	1006373	949679	23469
TMX4	115172	86917	89814	84524	103769	124898	130367	74165	79947	54861	42482
CST11	0	0	0	0	0	0	0	0	0	0	2455
STK35	122609	100109	101365	90657	143494	177716	179389	100827	100021	75549	75428
SNRPB	606039	451828	451363	448447	442622	469050	446196	269625	265391	271921	9220
