CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
CAMKK1	120182	66328	54511	121720	70583	92227	63725	41318	31444	71519	34577
RECQL	274523	270657	195294	392056	222217	240389	114712	142252	76821	111401	32759
VPS50	136129	105553	104589	100636	96830	145421	101254	86175	57205	96846	128782
HSPB6	68336	75674	38088	70244	46290	91551	86165	105311	72281	86856	3511
ARHGAP33	42235	37748	52577	45076	23206	35023	68583	49858	24670	54057	14291
NDUFAB1	407042	249961	264766	258773	256910	371154	220859	240071	166884	336853	15355
PDK4	603919	355228	903044	320365	294933	401471	186866	284165	182439	160747	12993
SLC22A16	244	1093	202	4399	808	392	806	202	606	686	51955
ZMYND10	4111	2498	2650	3499	1576	3359	4086	2096	1500	915	5743
ABCB5	0	606	0	202	519	14945	3975	3051	2663	2326	161832
ARX	156	1238	227	374	530	4466	9201	3848	2024	2835	12727
SLC25A13	631887	341192	431343	366624	311680	236954	151913	139212	121732	127051	201928
ST7	170173	105134	116788	103656	103798	76784	58714	61165	28691	72737	276866
CDC27	284681	225701	198113	436820	236681	267829	141434	138001	77798	137887	71720
SLC4A1	0	1186	328	462	1119	994	336	305	452	229	19757
CALCR	2319	334	2736	908	527	808	773	1804	200	590	150244
HCCS	144398	183347	152766	168881	179755	238014	162933	202665	144284	231328	11778
DVL2	227503	145813	135905	188330	118495	218638	220358	180778	103163	160104	9205
PRSS22	4984	98687	50846	109535	182960	17688	12155	5988	4422	70525	5444
UPF1	939525	740301	858708	1143326	1093547	956682	900012	849544	602015	1080179	36299
SKAP2	224972	279350	171924	422180	250944	415255	239641	292282	160790	200519	328178
SLC25A5	2537818	1981635	2105455	2415923	1679837	3828850	2177548	2780207	1838840	3122977	2920
MCUB	49461	123786	41754	76254	59015	74170	35538	37488	23398	23470	128522
HOXA11	291	79726	34	64694	29850	76257	109228	66690	14667	107206	3714
POLR2J	199589	186594	201582	185964	200739	234548	199441	185451	127725	306330	5790
DHX33	272462	134921	102527	224369	122068	163705	102800	82413	47158	66198	28149
MEOX1	11660	15772	2423	8933	4504	38212	9459	7783	8358	12904	21567
THSD7A	11097	35247	10593	25620	12780	30727	16980	11051	6246	8351	461842
LIG3	330086	174498	136486	439767	271438	240137	182246	130035	82874	187766	29250
RPAP3	181528	125771	115165	176801	110527	118431	85052	73939	45792	78242	44813
ACSM3	340217	210112	378247	169288	214979	233171	276408	149455	125490	144252	187339
REXO5	51316	25963	17747	25749	10518	17451	19889	11337	6266	18786	43240
CIAPIN1	242397	208785	195443	216964	224678	239571	169844	157977	100884	248919	19360
SPPL2B	231187	291998	443111	446382	459926	516824	1024955	703595	553497	969873	26192
FAM214B	99450	139187	43107	188956	227855	210429	210120	203083	131886	253123	12230
COPZ2	44741	54368	31279	57592	29478	26014	16420	19210	8355	15498	11864
PRKAR2B	13862	30799	15841	20376	25060	132635	65880	74944	34364	38245	117163
MSL3	134145	192801	103724	224136	124434	142297	122440	103780	66234	129025	17595
CREBBP	709716	554697	710343	707040	654309	665090	571687	616632	401673	620643	155673
TSPOAP1	583565	50430	92615	155381	58485	114817	142883	103155	46431	89675	27533
MPO	2947	17308	616	2313	4076	1269	799	1206	606	3189	11080
PON1	889186	553687	1117627	713680	436279	1085	457	1851	207	2649	27032
GCFC2	103598	62842	80338	93717	76168	90565	61078	47604	24624	45720	58990
WDR54	19870	25481	13766	37185	37784	21552	20498	26465	11908	20733	4078
CROT	124964	94420	106574	107277	75568	224262	64752	124497	116709	108169	54115
ABCB4	350305	334865	113291	243712	322128	13979	11623	11494	4467	10445	78739
KMT2E	434766	486837	550488	391073	585005	827963	706757	708342	386819	412617	100183
RHBDD2	278739	253406	198673	319779	315492	225535	200509	265845	185454	382652	46325
SOX8	2722	5820	1791	6101	68086	10219	8737	8537	8977	30347	5172
IBTK	371520	376134	223774	440809	500359	440114	233562	253976	126129	172940	77772
ZNF195	117323	88108	115776	148313	95976	106441	88621	70132	37140	93717	39962
MYCBP2	407805	543645	264095	345891	377117	456699	256005	250839	124225	180414	282396
FBXL3	387163	394310	337972	415222	556340	594528	319432	404010	283797	352754	34598
ITGAL	143367	357282	144276	199573	189061	176410	160164	230985	124222	127796	50528
PDK2	253193	220544	305970	265961	379090	237808	391143	340257	344804	352260	17416
ITGA3	396654	436359	393290	1235444	1142133	1104360	1110768	986130	953431	1219249	34514
ZFX	152702	199754	117057	164249	181023	256447	90167	100714	61294	94277	67083
LAMP2	1023623	1150013	762048	1132791	912145	747227	412150	510851	315229	518104	41539
ITGA2B	341	2784	1570	2918	639	2095	1769	764	686	3046	17326
ASB4	2998	553	7847	1031	891	1818	499	509	839	1711	61789
GDE1	460967	396826	322408	333514	374716	922499	608318	603082	448399	634059	20457
REX1BD	178145	149881	187527	276177	217865	204889	157722	160300	132436	312789	3652
CRLF1	14251	17191	27144	49123	36464	21870	17974	23491	13874	14446	35522
OSBPL7	103209	106304	142902	270413	101672	306862	587537	337292	326852	369498	14463
TMEM98	421097	262682	298464	564993	430368	627155	816856	551657	467891	612804	17197
YBX2	190105	30570	54067	124257	8070	168459	269671	227759	124175	92149	6364
KRT33A	0	0	0	0	202	0	0	0	0	0	4721
MAP3K14	153800	183007	208391	284377	150154	187538	154693	133020	89586	138170	53920
ABCC8	33	1	506	689	126	6716	7348	3267	1945	2271	83961
CACNG3	0	0	0	0	0	0	0	0	0	0	107249
TMEM132A	149720	261687	63443	613867	273395	52003	73691	62429	29639	141002	12697
AP2B1	960591	912785	1102202	2123514	1218583	1404121	998862	855842	484928	904476	148364
TAC1	0	1918	6407	0	957	24697	2848	604	5040	20702	8565
ZNF263	274156	248991	254133	246857	302261	228125	193737	152800	105003	210442	37602
CX3CL1	121272	195320	159163	161335	138871	164006	82979	77978	59778	85974	12591
SPATA20	399643	268504	429631	479873	431112	483333	636823	521439	398027	398972	12795
CACNA1G	38	1041	253	976	894	3166	1574	3741	773	854	66407
TNFRSF12A	234361	404771	208619	410222	564142	52405	25066	49669	29573	98158	3939
DLX6	85	262	81	752	383	101	324	407	188	137	5492
MAP3K9	66870	62462	60636	120806	79959	56322	49477	45307	40773	61857	87009
RALA	593180	317056	469046	588877	328157	482913	275113	365970	195331	328877	84642
BAIAP2L1	339872	368065	613603	360242	596638	780662	389669	391740	317275	650316	109418
KDM7A	468728	268627	443014	223049	378032	513429	329592	303757	236325	274902	92290
ETV1	9210	61389	17623	51357	55195	42622	36586	25125	11999	21946	100198
AGK	239403	117066	122948	162300	108713	110571	101192	68407	43580	73943	104056
ALDH3B1	176449	177724	99748	300448	283200	107788	151950	112503	125806	191430	20705
TTC22	122367	95678	17141	99332	108414	810628	448845	531577	426422	463107	21556
PHTF2	108915	141333	83586	140869	106374	88081	63488	63084	41544	61895	158712
CCL26	1504	3430	383	13324	10176	712	1123	202	0	1655	20364
FARP2	341808	289796	289476	309568	274381	525313	377666	371251	245517	363871	138599
USH1C	603029	470566	621630	672173	825962	961391	953255	596533	755630	1133383	50522
GGCT	547880	244847	370170	546283	141127	234601	154397	134126	68536	282602	8224
DBF4	118476	54664	75448	75144	42940	53743	30508	30666	17870	30967	33326
TBXA2R	16272	20246	15869	32898	22848	12911	5144	6938	6596	9653	12335
IFRD1	210149	195072	151287	161838	238884	205758	132593	127307	77865	109786	58050
LGALS14	202	68	0	0	0	0	0	202	0	0	5139
COX10	130573	92657	68650	119845	90191	145724	123766	130433	84876	99595	139182
GTF2IRD1	312218	205586	166289	213274	302520	64355	93361	57709	40229	197451	148815
PAF1	334377	305726	225461	438971	318582	312954	258752	269619	157743	362006	5344
VPS41	457209	323958	364074	512449	286287	324755	207492	228081	135071	193278	209432
ARHGAP44	238074	61018	10930	94205	54550	462542	493785	496189	290966	311427	202105
ELAC2	431594	264787	203082	479281	303802	375492	248743	257641	181998	274440	25797
SCIN	6505	71587	99866	29098	30528	332240	384769	429164	265634	350294	89603
ARSD	282840	442473	347569	465994	645976	869403	551908	382905	339216	650545	25382
PNPLA4	93530	89184	85724	68559	127387	98241	63090	58786	47588	82590	29493
MYH13	101	129	189	590	557	669	0	420	303	78	72266
ADIPOR2	630280	530179	608948	788678	709128	786604	486022	626983	398089	601977	100105
CDKL3	3499	4206	4024	4124	2937	2573	3031	1598	1327	3419	84698
UPP2	5363	490	1578	4349	403	151	125	44	5	226	259453
PRSS21	1737	2100	829	403	2139	3731	13343	1653	1706	5571	9125
MARK4	131706	148991	90176	200901	176764	102826	94177	99168	81694	104868	225996
PROM1	91099	286930	15339	207631	275433	695731	242438	545962	724099	492760	121303
CCDC124	328871	268491	174415	445175	260807	257599	206459	221550	123216	412923	10976
CEACAM21	5002	26260	4758	4860	10573	16676	11069	15593	5626	10618	37327
PAFAH1B1	565208	432016	328448	571542	436203	837547	530678	542861	341065	423927	92406
NOS2	66594	34431	38681	128838	15675	1243738	222576	122778	54826	295951	43734
DNAH9	174	1393	1402	715	576	7918	1480	3305	3167	5844	371318
KIAA0100	1010872	1013895	529063	1894309	1151993	1312590	823343	912546	512574	919094	31015
SLC13A2	284113	15436	100310	41526	29136	48980	168814	51569	15467	269844	24489
GAS7	54546	294118	51304	156155	127730	465042	156613	228633	107167	114355	287943
TRAPPC6A	107938	63377	148089	127796	143027	104002	132132	107649	94214	177717	15310
MATK	18400	37926	9660	29283	42391	47903	41509	40054	28408	19984	24160
CEACAM7	229641	119064	55773	55675	78843	28493858	6306538	15170888	10485062	12149717	33670
CD79B	10154	66084	16090	30392	17109	39319	26164	45037	28099	84974	3615
SCN4A	4034	2950	1793	3587	2558	227	1222	1006	0	1400	34365
ST7L	77558	71584	50385	54394	56525	123119	77292	70513	39705	51076	97308
TKTL1	3028	1818	202	577	52	1410	606	535	202	202	34680
PAX6	4670	4234	2479	7527	5616	11967	10577	9567	4213	8252	33284
RPUSD1	155416	129119	121458	119760	116870	119285	101732	98160	80536	185227	3424
RHBDF1	146046	176410	171861	261276	305045	158532	187289	174614	119313	314611	18297
LUC7L	181132	155935	103757	196214	174000	169154	203392	142192	92918	201571	40495
CACNA2D2	11411	12302	7094	11480	9447	49944	91274	45697	18841	29777	141446
BAIAP3	44065	42819	71943	44879	189909	68521	115499	63287	54850	80633	15841
TSR3	169722	145279	132624	152909	163637	199527	157116	179555	136027	254150	2672
PIGQ	204559	161148	187901	214752	161155	171784	204522	205872	139323	367426	17142
CRAMP1	218302	194316	210678	196655	242128	172210	178649	157931	100230	160355	65584
TEAD3	196122	183022	184340	316923	265206	226157	266878	208822	139073	287417	23480
SELE	30355	58277	13075	64060	18247	7267	1273	170	1569	3744	42065
DNAJC11	381662	393396	261987	393799	267836	607014	533112	410945	259607	357808	67757
FMO3	1189684	972667	1375670	1007130	563747	6224	1754	6125	2251	3619	26943
MYLIP	88146	149495	148782	186007	178147	275474	199165	179365	157666	221730	19124
NOX1	561182	39219	581262	181935	303408	446449	613387	269539	122210	681031	31022
E2F2	66052	34523	43948	44730	12803	98295	67316	89252	35901	80338	24791
PSMB1	733922	569265	466848	847078	748422	660818	380918	372455	250533	737128	18225
SYN1	29689	13745	4736	38137	43098	7917	8670	5487	3772	8311	48046
JARID2	144262	179553	102831	280893	149812	160354	146353	133921	76322	130736	275745
CDKL5	39251	82066	23891	81790	65289	58719	31558	39746	20858	36237	228047
CAMK1G	4861	6753	2349	7887	3276	1501	994	606	833	1887	30222
CDK11A	165342	312349	227557	382527	438633	494375	454152	441040	265081	382962	21595
NADK	526856	652704	480499	669060	738704	793855	709273	778618	522471	683942	29226
TFAP2B	0	0	0	0	0	24	0	65	25	0	28891
TFAP2D	0	0	0	0	0	0	0	0	0	0	59161
DLEC1	230259	183120	117677	181146	165970	115311	124631	86414	60210	95813	84821
CYTH3	86124	222923	89771	335027	224760	191818	149068	160935	79750	117286	110869
ADAM22	40404	28580	8255	22337	23280	56794	40418	32655	23846	31876	268747
SYPL1	473293	408216	560897	436856	544497	579624	337297	336013	222814	458637	22074
CYB561	325035	369377	285385	615076	320825	496288	453338	377983	305919	663970	14075
SPAG9	457521	528635	847390	671785	690088	790950	334029	466418	317345	305829	158692
CELSR3	42516	101639	170164	285038	124724	33229	32535	28151	11420	77414	26447
AASS	78705	50156	188869	55574	69284	45698	21484	15583	11207	4848	68634
PLEKHG6	126309	199827	218227	428709	316638	579312	494159	694613	435458	508777	18071
SS18L2	72319	72806	39144	83264	72555	68545	54804	46125	32700	58521	13275
MPND	72153	110377	145798	99129	124742	286962	306849	266338	222401	311892	16560
MGST1	1012491	821934	946186	1035336	979184	759190	451841	517924	412151	494033	262118
CRY1	100325	98880	77237	155099	150268	133940	64244	71833	33748	66441	102466
PGLYRP1	298	124	333	548	1513	1160	778	445	545	276	3913
NFIX	489938	529113	619134	591170	525167	418432	485887	331214	223012	460935	103189
ST3GAL1	753166	589305	843788	632095	610749	124675	80069	132564	57711	148341	117093
MMP25	31482	40410	26082	45984	35257	54589	34281	58963	33713	42883	14046
IL32	2213992	2674681	572573	2442443	1716899	1857897	619173	1584992	1065453	2275121	16896
PKD1	631410	555317	461771	591821	616343	595157	702855	640327	368922	517276	47189
MAPK8IP2	21366	6640	25959	15625	5416	12490	13014	12685	4222	25332	13297
MED24	469566	336776	320371	764777	434876	405031	466454	365160	219898	494261	42119
RHOBTB2	69092	136072	56334	108454	94942	82384	70790	86881	105194	89944	32783
HEATR5B	176236	203537	161989	212723	192036	249259	212369	201647	116058	149971	115960
SEC62	931077	796132	940063	908941	932439	819383	591924	600801	328291	498932	31739
RPS20	3218967	2323150	2707570	4556038	3311066	2919599	2576781	1808850	1292614	1919143	7287
CSDE1	2920490	2930161	1867231	2938732	3595473	3634254	2687043	2254145	1351211	1694150	41764
UBE3C	677306	567102	618073	709880	591798	615962	352560	423516	243558	411829	130460
REV3L	152951	139897	89998	117500	126967	212062	157746	115380	64051	71920	184688
TENM1	18822	9303	30891	21476	14100	12510	1613	5605	2406	897	587915
PAX7	27	51	0	0	0	227	202	0	0	520	117861
MASP2	445352	236728	375848	305031	409193	10948	11326	6863	1939	3617	20711
IYD	291040	262058	507723	184185	253514	295441	233794	232012	180555	227618	37078
FAM76A	33731	50398	24864	42135	35225	60769	46985	45923	32291	39225	37144
TRAF3IP3	69400	168206	45731	86890	59261	109433	101329	110213	53792	68907	26289
POMT2	87243	88481	46612	124425	72979	106632	87226	70355	38153	103279	45929
VTA1	322417	217655	190431	293960	235653	391645	207481	212928	132272	229065	77528
MLXIPL	619006	384138	1047388	629550	436675	20150	120185	23216	17101	64642	31350
BAZ1B	943382	655417	783915	621396	541267	676589	491957	438986	226316	392484	81881
RANBP9	228287	283347	172546	316241	243720	250456	178323	175170	107895	179640	90067
ETV7	25701	60462	38792	46900	19678	70831	23129	14535	18718	46183	33710
SPRTN	77886	78474	71780	117879	94151	83333	53325	58919	38753	63365	17920
METTL13	292533	314242	322600	535166	296706	346489	247414	216909	141577	436735	32360
DYRK4	52211	62344	50116	81777	58930	72625	60673	42060	22917	39791	53099
ZNF207	752778	603759	543191	1123002	863010	795573	577207	528619	286884	515168	31770
UQCRC1	1133492	1132611	740077	1024059	1350156	2184795	1682056	1599703	1171086	1618056	11975
STARD3NL	153064	137803	121521	205192	121158	139491	96479	109607	63494	119618	52450
CD9	1806514	839711	1656146	1757994	3890184	2462863	1900942	2145765	1357638	1781078	38557
HHATL	347	0	249	32	201	622	201	0	0	705	10165
NCAPD2	731845	402455	550493	863684	316511	325847	259885	277256	142666	326854	38600
IFFO1	90311	137802	63219	138090	93402	105102	97498	106072	46564	57819	17709
GIPR	3525	16289	5110	8188	20547	44767	90106	49518	25321	38296	15481
PHF7	19320	16806	28264	19428	15943	42952	63676	42730	28672	30416	12985
SEMA3G	33904	52031	15219	53039	25043	193880	169154	103001	64751	81893	12033
NISCH	346069	475735	250062	448573	442511	513109	652934	472880	298536	402760	37954
STAB1	535630	781454	854368	945862	531612	1167208	816432	1409740	490405	616407	29158
FUZ	94590	60746	40947	72046	35058	45337	51899	55694	32960	62989	10508
SLC6A13	19907	13562	45463	20986	8240	326	0	170	201	2	42253
IDS	372059	669352	331130	693760	648891	846468	481571	538351	339937	508415	44107
PRSS3	364085	186004	90964	220670	259260	558742	519542	528900	411600	829177	48766
ZNF200	47690	60689	50221	71410	69517	39403	34297	27476	15559	38968	13897
CD4	355942	744407	537308	593147	595926	346732	180000	292922	148202	169816	33951
LRRC23	23854	21209	25234	39725	39178	23430	20492	18526	11438	34079	40675
BTK	36154	133878	33631	71598	72138	86278	40241	69980	28622	37349	41350
HFE	59767	86924	68339	101873	61861	60652	44123	45117	30973	51458	11063
SCMH1	146141	231780	108286	183119	203112	254372	248073	197059	129735	143665	214955
FYN	113626	252383	90204	223576	176967	227140	120744	122897	77047	94656	213121
HIVEP2	88156	239761	148450	190293	198433	247486	112615	128045	73675	111043	205232
FMO1	1275	14071	2086	1071	4356	1207	2136	2483	983	621	37508
ELOA	291786	337409	152965	335092	278578	352710	243744	222747	144426	188293	18905
LYPLA2	285372	363210	239726	357237	289047	383725	379795	383309	265730	539455	4570
CLCN6	100658	127415	83764	120159	76293	126574	134253	104726	64907	65922	37049
MRC2	177159	696648	160483	651360	379516	537141	291050	320032	184002	274038	66197
NME1-NME2	1571430	1533816	1921376	4158312	3064296	1579236	1376793	1145006	703410	1966255	18155
SLC6A7	27181	2986	17862	5197	2914	41488	129622	42637	40448	46208	32832
TSPAN9	267722	356432	255805	446715	359396	162959	107014	122873	63517	121280	209210
BTBD7	143297	132224	174141	186414	204564	292928	173044	195890	120668	134058	95543
APBA3	45005	76102	75263	99183	85860	81047	83010	90934	56520	105610	10881
MKS1	65131	51341	61687	89809	81148	67487	66755	46585	29379	88267	14169
ABHD5	41003	64306	37085	65459	65848	197917	52779	130318	88126	85866	44259
ANOS1	18891	44326	17459	48289	33138	8948	3657	4027	3654	6444	203313
AKAP8L	335915	234164	213509	342121	283542	240021	320769	221064	133347	281594	39094
MBTD1	166825	117897	166618	196345	130894	162985	134113	100658	69408	80508	82739
UTP18	234087	211268	249559	411708	242677	244223	123273	117502	66113	129476	37409
RNF216	336306	265173	223824	454352	247499	253796	186842	182555	127143	205698	161693
TTC19	332817	210697	130387	233189	212419	441461	284900	320623	217806	219857	45636
PTBP1	1371578	1467398	1831088	2425121	1930903	1447226	1307999	1241705	754001	1513684	15253
DPF1	785	674	503	999	838	971	635	824	592	1069	18709
SYT7	519848	379403	313489	359233	645417	104961	166631	103839	52987	268089	65836
LARS2	271223	341138	99873	218534	205024	327283	195796	198328	102547	147569	160916
PIK3C2A	370927	351015	415041	409773	310490	406218	229162	211885	121457	132075	130254
PLAUR	66874	289214	99107	441389	497612	328988	55820	168076	160214	255838	24453
ANLN	353686	196045	217419	404922	108886	47146	27134	41418	10172	57953	63986
WIZ	284869	216832	247911	416260	270173	239218	210154	207433	148716	313937	29972
RABGAP1	245061	246042	269251	262726	383014	331721	350546	267703	132443	242052	164034
DCN	1089310	3409993	679811	1444720	1243880	5187229	1752831	1379311	859770	799714	42640
QPCTL	37175	39900	39350	56369	39779	40250	48487	47809	33987	53009	11507
PPP5C	505044	332541	325769	489348	403846	360741	334952	281789	172451	259822	45988
CEP68	145264	149384	136419	184926	146437	177221	170891	108273	85844	113819	30639
MAP4K3	145865	152598	176550	188221	202091	179152	108974	100562	60109	99622	188047
ZBTB32	2623	5645	3240	5018	1167	3188	3674	4400	2479	4325	12512
TYROBP	138553	432277	139903	318706	356023	201471	88206	159428	76795	87646	3895
TMEM159	106177	121525	103314	107543	145772	196309	159742	134944	105426	204933	22240
GABRA3	0	0	0	0	25	2325	459	0	201	0	285125
BRCA1	224508	78382	138300	233249	52084	67163	35772	47548	14140	52217	125951
ERCC1	247311	197144	200521	321646	315343	228216	199965	139534	93164	167712	71496
CD22	12209	68795	9647	24017	17244	36764	19102	42321	19812	88512	28095
SEMA3B	49797	358379	24394	168513	431060	729900	572364	676565	692038	626774	9989
MBTPS2	197425	139609	128059	141219	140808	75273	63491	53781	32564	75329	45789
PRICKLE3	87703	67072	36063	69493	61572	56590	65778	55768	40103	92827	11265
LTF	9394	87790	4580	8740	7680	17921	3782	16728	17260	102565	49590
EXTL3	121486	288902	152933	272678	250759	189651	125038	174808	84860	158899	155131
NR1H4	179743	134968	136948	134639	117517	122326	13816	57717	107062	14220	90706
ELOVL5	660300	515695	220596	851116	349128	161326	63589	78684	40881	113506	81782
ALOX5	78164	268165	58542	304529	358166	182446	91606	125883	61131	75347	71944
KDM5D	390206	1123	105515	326936	327	1866	354944	353414	182768	224941	41075
CALCOCO1	386708	576698	374085	637638	546410	600548	774870	553372	387631	552326	19229
UBR7	184568	160897	196325	182962	164130	307773	184391	187721	115650	162381	22160
MAP4K5	156544	151874	175108	186344	174317	252924	159396	151256	75336	100473	142626
EHD3	79983	196981	93370	176699	113585	53682	21815	35695	19650	27906	35111
PSMC4	460808	347132	481804	726504	420030	404443	312368	367121	214923	510161	10437
MAN2B2	235790	398942	240901	392223	326511	481748	371116	355664	243158	291571	48188
SLC7A14	0	101	0	505	50	22395	10344	4774	2912	2522	126491
CLDN11	64036	68000	10388	53947	46159	42711	16908	15449	5151	10099	441516
SLC25A39	809747	624435	717996	1120406	706639	750977	575909	628992	361781	923175	5246
MVP	1716108	1694665	1596323	1459690	2544305	3933964	2932564	3063368	2460351	3751407	27646
NUB1	337338	467217	518326	589868	383676	626467	365418	442767	270730	473274	36751
PGM3	327213	339407	144755	390620	310579	298058	183376	144687	82675	189355	32787
RWDD2A	39629	35401	18339	43321	33362	27194	27926	17590	14837	33251	5554
CLK1	411867	333022	201011	315426	356342	283999	336796	259178	168520	221743	11736
POLR3B	134932	73441	81620	110730	86289	109329	64589	53050	27965	44404	152541
ANGEL1	248857	151570	158771	198847	194072	189390	122958	111266	69321	107489	40069
RNF14	190366	215175	229179	237709	267708	316300	221136	245356	141199	200451	31964
DNASE1L1	161416	242449	144236	225454	516401	237227	188384	159920	125689	216115	10875
DDX11	277187	130715	193641	324543	148384	97895	118996	90937	40616	174471	30947
HEBP1	131075	201173	238997	242445	241650	267462	155638	169708	200692	212700	25410
GPRC5A	546845	730643	698484	2080782	5293973	1625332	860480	1135769	771427	1774258	27156
MAMLD1	19414	18667	11547	25708	24208	12985	11487	7432	5842	5734	152757
CD6	59908	140772	41060	73705	50465	63390	63231	73728	59639	81813	48698
TACC3	248830	257654	149752	264807	92932	110712	82301	99394	39999	127229	23687
UFL1	274634	180390	163837	266718	295690	278459	206758	214925	118604	152848	33682
POLA2	118890	107249	97504	109565	43248	70807	51150	49120	24190	74234	43828
ZC3H3	150181	92368	95357	198743	117682	123751	124379	110759	85814	185198	103799
CAPN1	1254562	1305910	1438936	1336003	1844003	1782903	1281770	1602155	978723	1646552	31441
ACPP	4354	14913	11133	27414	1956	19839	18426	11332	6425	22531	50932
MDH1	516884	529776	548756	638938	519241	777941	519081	494749	318997	552992	18589
SLC30A9	292665	317415	212875	293743	236337	549640	350042	362366	207829	230803	99986
MTMR11	592339	283856	267195	534890	612062	1159767	1245332	905777	577815	786369	8219
COX15	272666	196584	184392	217400	203214	263069	192705	196414	123943	179572	20257
CCDC88C	219465	255115	264234	273299	290713	543936	422561	481276	320168	330118	146522
YAF2	66722	57428	42943	67849	62233	35741	35155	40295	23638	32787	81246
ZMYND11	524737	392946	355847	435502	374518	505443	363433	313389	175308	191367	120173
WAS	51202	145989	41991	105536	83199	75324	59998	91010	50038	64421	14832
DPEP1	103064	292780	45783	506694	850659	24836	16323	26218	226057	2348706	25149
