CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
TSPAN6	776426	371725	612244	456147	513335	559544	489653	332084	238516	634115	12883
TNMD	1483	806	2995	297	1095	4631	1884	4484	1961	3976	15084
DPM1	364919	274342	248740	371045	325628	211173	123204	113606	67338	198331	23689
SCYL3	103601	97625	98387	117366	101943	160847	106890	106938	64928	101515	44637
C1ORF112	90805	59235	61460	108892	44839	52308	34236	38087	18522	58008	192074
FGR	57081	145623	26800	168519	158882	59723	24483	21608	18654	23682	23214
CFH	4010993	3286370	4048612	4053121	3106707	704767	302421	399277	167221	125748	95627
FUCA2	514630	432995	357435	504506	465260	546566	389792	390046	211232	525667	16880
GCLC	438559	305520	485226	683539	362891	288311	175422	224328	127411	171443	119630
NFYA	195654	222069	148920	495276	185219	205952	147789	135611	77779	146456	27032
STPG1	35410	37987	25162	42513	20389	105495	82811	110927	79370	95043	59936
NIPAL3	168447	230727	111354	160653	137785	300523	250371	288526	216070	274562	57183
LAS1L	348541	300304	230601	450794	276086	233707	187498	166300	76499	291700	22194
ENPP4	109222	102937	108366	317318	129684	247438	139162	149160	83600	127842	16707
SEMA3F	64631	277945	72957	281847	142225	123615	145730	82893	55196	166330	34031
CFTR	1433316	656217	456774	386891	1557458	1226296	1196975	656252	490166	566997	250188
ANKIB1	317172	292606	254401	357413	258642	336570	223118	215893	128318	152087	155151
CYP51A1	464218	343814	588167	539937	544070	440223	266783	345527	129209	456001	30802
KRIT1	259958	165425	234589	184849	149667	188097	142062	117541	63324	98196	47198
RAD52	71727	43843	41595	66656	44410	104600	88257	61162	51954	63315	77977
BAD	90905	118106	79396	110892	105753	212107	228734	176102	167317	251869	14875
LAP3	820798	1323926	693563	1054320	672212	926786	402805	482749	302250	392410	30781
CD99	951810	799278	552065	1097013	704991	831963	786672	828912	621305	919669	50131
HS3ST1	23179	59362	23272	82004	37262	64020	37763	39295	37385	37709	36616
AOC1	347498	214255	455468	308702	592898	2760318	1938635	2080733	2344103	2084594	36878
WNT16	578	1117	202	202	25	1111	1210	589	0	878	15738
HECW1	1616	3949	963	2754	2014	1909	1236	4283	717	2265	453403
MAD1L1	170338	143776	111615	226997	158256	123763	96137	96483	60740	135736	417451
LASP1	2220449	1677951	1899560	3255205	1891428	2709877	2115704	2416652	1817387	2689201	51912
SNX11	87874	141000	96853	214249	131759	143905	100996	114875	90199	170951	19718
TMEM176A	1520625	1370100	2674566	1767645	1950094	1284759	776427	871391	599005	946525	4718
M6PR	624121	736273	718221	965305	905981	807439	485786	513869	311376	508970	9593
KLHL13	13658	132874	13905	14792	9613	40351	31055	33854	25330	17114	219528
CYP26B1	3912	10467	4656	6554	7351	27698	15924	41560	16497	52885	18801
ICA1	215488	156990	180403	279118	312067	167827	207138	124447	120874	213966	149504
DBNDD1	75755	60256	71198	89619	84282	13318	14717	18450	14274	56468	15264
ALS2	140255	166830	122980	226503	137391	118162	91164	66174	37463	74855	80636
CASP10	86730	177216	108757	163218	100601	989337	166319	297330	157012	292137	46526
CFLAR	540062	917774	619003	814684	854460	1105213	659640	712461	419958	586305	60584
TFPI	525726	289090	559414	485053	446241	140041	68272	67775	40536	43116	101531
NDUFAF7	78680	88958	64849	93063	62625	74442	50860	43615	27301	48030	21773
RBM5	463962	588103	337420	483450	581700	827646	761777	514104	322477	440263	30114
MTMR7	15221	6552	4131	11799	5212	12807	5848	4581	1766	6293	115499
SLC7A2	1099490	332796	926938	548808	834025	64635	60317	26669	17035	14647	73486
ARF5	585892	525743	500698	538992	510927	565918	547545	518426	413673	880879	3361
SARM1	317522	326358	252330	315965	252313	236580	226233	168866	75864	199878	39694
POLDIP2	902083	587889	559986	1132749	734300	630562	488408	503812	327522	600032	10346
PLXND1	408441	832930	409178	1344229	725890	441548	315447	308716	197763	287447	51644
AK2	641531	627505	451061	559100	600680	840188	555089	502369	355609	498618	73057
CD38	21111	104563	30309	48398	22261	69832	36600	64784	24397	22818	74956
FKBP4	1113431	901511	994006	1442275	1438530	1144955	778305	676838	488503	990750	10471
KDM1A	588567	516330	280737	571651	295242	434439	340341	266029	143483	279532	64242
RBM6	611895	726400	378883	767887	591977	936311	853651	686620	347779	478367	160039
